,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
479,Barkhan,29.9,69.52,48.79,36,0,1.97
480,Davila,18.47,120.58,75.2,78,20,24.16
481,Daru,-9.07,143.21,76.1,97,99,0.89
482,Magnolia,33.27,-93.24,49.23,49,1,8.05
483,Arinos,-15.92,-46.11,89.31,52,63,7.7
484,Verkhnyaya Inta,65.99,60.32,13.41,95,100,10.2
485,Luwingu,-10.26,29.92,68.34,89,100,4.34
486,Aguada de Pasajeros,22.38,-80.85,86.0,55,40,10.29
487,Airai,-8.93,125.41,67.17,87,77,1.88
488,Santa Cruz,-6.22,-36.02,93.61,34,22,12.46
489,Kampot,10.62,104.18,77.83,57,20,8.05
490,College,64.86,-147.8,13.64,92,90,2.15
491,Longford,-41.59,147.12,46.4,70,40,13.87
492,Port Hedland,-20.31,118.58,73.4,64,17,9.17
493,Petit Goave,18.43,-72.87,87.8,52,20,10.29
494,Dunga Bunga,29.75,73.24,61.29,21,0,4.21
495,Shenjiamen,29.96,122.3,50.88,53,2,19.01
496,Juneau,58.3,-134.42,42.26,81,90,13.91
497,Vila Franca do Campo,37.72,-25.43,64.4,72,20,9.17
498,Dandeli,15.25,74.62,68.61,91,99,5.44
499,Alyangula,-13.85,136.42,75.2,100,0,1.01
500,Sideropolis,-28.6,-49.42,69.96,48,0,6.76
501,Acajutla,13.59,-89.83,86.0,42,40,6.93
502,Salamiyah,35.01,37.05,54.39,62,24,2.73
503,Mogocha,53.73,119.76,-16.74,84,96,4.05
504,Ashta,16.95,74.41,68.9,80,72,8.9
505,Pitea,65.32,21.48,28.26,63,83,16.11
506,Kita,35.76,139.74,52.09,50,75,19.46
507,Codrington,-28.95,153.24,58.44,76,0,2.24
508,Havelock,34.88,-76.9,52.23,54,75,14.99
509,Male,50.74,33.7,30.52,66,100,13.47
510,Ati,13.21,18.34,80.94,12,60,9.24
511,Indramayu,-4.05,103.78,73.72,95,100,2.06
512,Kalaikunda,22.35,87.25,68.94,51,0,5.14
513,Spearfish,44.49,-103.86,41.92,45,1,11.41
514,Esso,55.93,158.7,-6.3,95,15,0.58
515,Shelburne,44.08,-80.2,29.84,74,20,6.93
516,Cockburn Town,21.46,-71.14,84.2,62,40,9.17
517,Qianguo,45.12,124.86,4.71,48,0,10.92
518,Bereda,43.27,-7.54,46.76,70,75,5.82
519,Moron,18.56,-74.26,80.71,69,1,3.29
520,Anuradhapura,8.34,80.41,73.89,96,100,3.96
521,Yazman,36.74,38.46,50.83,66,0,5.95
522,Concepcion del Uruguay,-32.48,-58.24,80.01,31,46,1.01
523,Luau,-10.7,22.23,68.72,96,100,3.76
524,Komsomolskiy,67.55,63.78,14.61,95,100,9.08
525,Poso,-1.4,120.75,67.77,81,98,4.43
526,Seydisehir,37.42,31.85,32.47,81,0,3.94
527,Carutapera,-1.2,-46.02,82.58,77,69,13.18
528,Port Moresby,-9.47,147.16,80.08,84,6,3.13
529,Nagua,19.37,-69.85,86.58,74,75,6.93
530,Pontian Kecil,1.48,103.39,77.94,94,75,4.7
531,Taltal,-25.41,-70.49,65.55,63,2,8.68
532,Monrovia,6.33,-10.8,78.8,94,20,9.95
533,Hong Gai,20.96,107.09,60.8,55,0,6.93
534,Zaraza,9.35,-65.33,88.03,60,76,5.48
535,Waingapu,-9.65,120.26,84.2,78,0,10.89
536,Monterey,36.6,-121.89,53.91,82,90,10.29
537,Abonnema,4.71,6.79,84.2,83,40,3.36
538,Oum Hadjer,13.3,19.7,78.67,13,34,9.86
539,Primorsk,60.37,28.62,25.0,74,10,17.94
540,Beidao,34.57,105.89,21.87,79,0,2.35
541,Nizhniy Kuranakh,58.84,125.49,-23.4,98,100,3.02
542,Maragogi,-9.01,-35.22,80.06,77,17,16.55
543,Quatre Cocos,-20.21,57.76,74.52,69,20,5.82
544,Umm Bab,25.21,50.81,68.0,64,1,6.44
545,Sur,22.57,59.53,71.13,53,43,4.88
546,Jumla,29.28,82.18,27.19,35,0,4.81
547,Degtyarsk,56.7,60.09,26.6,79,75,8.95
548,Sambava,-14.27,50.17,72.5,92,38,2.1
549,Urusha,54.05,122.9,-15.65,86,100,6.71
550,Deniliquin,-35.53,144.96,48.43,71,2,8.77
551,Lavrentiya,65.58,-170.99,19.18,78,8,5.64
552,Tazovskiy,67.47,78.7,6.26,94,96,15.88
553,Julfa,38.95,45.63,41.0,86,90,11.41
554,Nombre de Dios,23.85,-104.24,70.72,21,20,2.24
555,Qasigiannguit,68.82,-51.19,17.6,72,40,21.92
556,Banda Aceh,5.56,95.32,73.45,94,93,4.7
557,Keningau,5.33,116.16,77.0,88,75,4.7
558,Bilma,18.69,12.92,66.4,23,98,3.15
559,Semey,50.41,80.25,13.6,70,0,12.53
